trend,per,,
5.795822111,1.204177889,,
5.806055451,1.193944549,,
5.815602697,0.184397303,,
5.824476123,-0.824476123,,
5.832688188,-3.832688188,,
5.840250527,-3.840250527,,
5.847170941,-4.847170941,,
5.853453393,-4.853453393,,
5.859096996,-5.859096996,,
5.864096012,-5.864096012,,
5.868438843,-3.868438843,,
5.872108027,-3.872108027,,
5.875082233,-0.875082233,,
5.877336257,4.122663743,,
5.878844024,3.121155976,,
5.879583576,0.120416424,,
5.879536081,2.120463919,,
5.878682825,5.121317175,,
5.877007214,8.122992786,,
5.874497778,5.125502222,,
5.871151166,3.128848834,,
5.866969156,7.133030844,,
5.861956654,11.13804335,,
5.856125698,8.143874302,,
5.849499464,5.150500536,,
5.842109273,3.157890727,,
5.833991597,2.166008403,,
5.825186064,0.174813936,,
5.815734468,-1.815734468,,
5.80567878,-3.80567878,,
5.795059154,-5.795059154,,
5.783911938,-5.783911938,,
5.772267686,-4.772267686,,
5.760151165,-4.760151165,,
5.747582375,-3.747582375,,
5.734576551,-2.734576551,,
5.721145183,-0.721145183,,
5.707297026,5.292702974,,
5.693040113,1.306959887,,
5.67838777,0.32161223,,
5.663354632,0.336645368,,
5.647955652,2.352044348,,
5.632206123,1.367793877,,
5.616123687,0.383876313,,
5.599727357,0.400272643,,
5.583036528,2.416963472,,
5.566070994,5.433929006,,
5.548852969,1.451147031,,
5.531410099,-0.531410099,,
5.513771482,-0.513771482,,
5.495965683,-1.495965683,,
5.478020756,-2.478020756,,
5.459963256,-3.459963256,,
5.441817262,-4.441817262,,
5.423603392,-4.423603392,,
5.405337823,-5.405337823,,
5.387032308,-4.387032308,,
5.368693195,-4.368693195,,
5.350322444,-3.350322444,,
5.331917647,-2.331917647,,
5.313473047,1.686526953,,
5.294980552,4.705019448,,
5.276433758,1.723566242,,
5.257830968,0.742169032,,
5.239172206,1.760827794,,
5.220458238,3.779541762,,
5.201691593,1.798308407,,
5.182878579,0.817121421,,
5.1640273,1.8359727,,
5.145146679,2.854853321,,
5.126247476,2.873752524,,
5.107343304,0.892656696,,
5.08845065,0.91154935,,
5.069586894,0.930413106,,
5.050770329,-1.050770329,,
5.032020175,-2.032020175,,
5.013354604,-3.013354604,,
4.994789756,-3.994789756,,
4.976338755,-3.976338755,,
4.958010734,-4.958010734,,
4.939810847,-4.939810847,,
4.92173929,-3.92173929,,
4.903791321,-2.903791321,,
4.885958275,-1.885958275,,
4.868228583,2.131771417,,
4.85058879,4.14941121,,
4.833027573,2.166972427,,
4.81553776,2.18446224,,
4.798114344,1.201885656,,
4.780754502,1.219245498,,
4.763456615,0.236543385,,
4.746220282,0.253779718,,
4.729045338,1.270954662,,
4.711931874,2.288068126,,
4.694881249,3.305118751,,
4.677897111,1.322102889,,
4.660986416,1.339013584,,
4.644157437,1.355842563,,
4.627419791,-0.627419791,,
4.610784447,-1.610784447,,
4.594261749,-2.594261749,,
4.577860429,-3.577860429,,
4.561586626,-3.561586626,,
4.545442898,-4.545442898,,
4.529428246,-4.529428246,,
4.513537123,-3.513537123,,
4.497759451,-3.497759451,,
4.482081642,-1.482081642,,
4.466486608,1.533513392,,
4.450955779,3.549044221,,
4.435472119,3.564527881,,
4.420022142,1.579977858,,
4.404595924,0.595404076,,
4.389185124,1.610814876,,
4.373781993,1.626218007,,
4.358380397,1.641619603,,
4.342975824,1.657024176,,
4.327565406,3.672434594,,
4.312147932,2.687852068,,
4.296725863,1.703274137,,
4.281304348,1.718695652,,
4.265890238,1.734109762,,
4.250492105,-0.250492105,,
4.235120253,-1.235120253,,
4.219784738,-2.219784738,,
4.204494377,-3.204494377,,
4.189255771,-3.189255771,,
4.174072316,-4.174072316,,
4.158944215,-3.158944215,,
4.143867502,-3.143867502,,
4.128835049,-3.128835049,,
4.113836585,-1.113836585,,
4.09885871,0.90114129,,
4.08388691,3.91611309,,
4.068907573,3.931092427,,
4.053911001,1.946088999,,
4.038891431,0.961108569,,
4.023845041,1.976154959,,
4.008768975,0.991231025,,
