data1,data2,data3,homo1,homo2,homo3,arma1,arma2,arma3,prophet1,prophet2,prophet3,full1,full2,full3
2,0,2,5,4,5,4.037951056,1.436111476,4.482726681,3.455425807,-0.275858963,3.542255103,2.122,0.404,2.4
1,1,2,5,4,5,2.982060461,0.637108139,2.019035508,2.730940393,0.10849079,2.207100738,1.248,0.85,1.868
0,2,3,5,4,5,0.980716345,1.963138827,1.709962529,2.946659953,1.169773624,1.320947155,0.644,1.786,2.208
1,3,2,5,4,5,-0.683428516,2.759141798,2.566772429,3.169943976,2.830647244,0.924664474,0.942,2.88,1.306
1,4,1,5,4,5,-0.342094643,3.712104764,2.209675536,2.790282936,4.633059857,0.826595859,0.974,4.054,0.724
0,6,0,5,4,4,-0.224880783,4.621105328,1.40255613,2.213579563,5.969994698,0.868481637,0.622,5.842,0.51
1,7,2,5,4,5,0.068577908,6.44977905,0.657165608,2.480740235,6.470296106,1.140632598,1.332,6.646,1.58
2,6,2,5,4,5,2.102042043,7.080655419,2.12953136,4.182523118,6.235180174,1.901480356,2.318,5.952,1.856
5,5,4,5,4,5,3.593664503,6.123281133,2.650627091,6.765379879,5.739954924,3.254733824,4.94,5.116,3.62
8,5,4,5,4,5,6.407304199,5.506196385,4.26825677,8.946346904,5.488617145,4.903626187,7.764,5.112,4.222
11,6,6,5,4,5,8.654841337,5.64375206,4.696176645,9.85096218,5.698420916,6.259572668,10.762,5.932,5.892
13,6,6,5,4,5,11.00470026,6.441307537,6.164313305,9.76025284,6.236535737,6.855032192,12.546,5.786,6.132
6,6,5,5,4,5,12.61789653,6.088898779,6.480171004,9.734509221,6.799414425,6.708037272,6.24,6.058,5.252
13,6,5,5,4,5,7.260113243,5.993803625,5.511557704,10.4936156,7.137900733,6.306582028,12.704,5.952,5.302
13,7,6,5,4,5,13.10370006,5.797196546,5.302334729,11.67141644,7.146113184,6.215720079,12.944,6.904,6.128
16,5,5,5,4,5,10.92589028,6.537892627,5.870194289,12.18491107,6.803939417,6.646310105,16.018,5.366,5.13
11,5,7,5,4,5,13.73994269,4.261253513,5.271216015,11.34407718,6.103730436,7.346700684,11.286,5.022,7.324
9,4,8,5,4,5,9.779580404,4.633652269,6.528367631,9.586565797,5.067473482,7.873202855,8.68,4.182,7.954
7,3,9,5,4,5,9.461735068,3.411332185,7.650062477,8.093944368,3.820196108,7.958437057,7.51,3.124,9.07
7,2,8,5,4,5,7.406528198,2.649944184,8.431760768,7.661702883,2.596744086,7.643939093,7.096,1.986,7.852
8,1,7,5,4,5,6.741522277,1.815340721,7.806112759,7.941626146,1.625880482,7.105234826,7.798,1.236,6.988
8,1,5,5,4,5,6.484002768,1.056935595,6.628651526,7.807234105,0.985561573,6.400821469,7.86,1.018,5.246
6,0,5,5,4,5,6.027675187,1.263623566,4.88929836,6.481611231,0.585095743,5.422973497,5.776,0.436,4.986
5,0,4,5,4,5,4.837420241,0.358044599,4.40050765,4.313052572,0.318706283,4.089227196,4.74,0.492,3.988
2,1,3,5,4,4.5,4.87747717,0.724850765,3.744316688,2.443720984,0.251570077,2.547593651,2.004,0.718,2.788
2,1,1,5,4.5,5,2.945543802,1.73164512,2.782419821,1.71946427,0.635919829,1.152512535,1.708,0.988,1.2
1,2,2,5,4,4,3.197725418,1.692052048,1.291697022,1.93541253,1.697202663,0.21473367,0.868,1.848,1.436
1,3,0,5,4,4,1.678676558,2.87549623,1.771471105,2.158925253,3.358076283,-0.223970483,0.936,2.79,0.448
0,5,0,5,4,5,1.174628748,3.74626673,0.656929877,1.779492914,5.160488896,-0.35450544,0.48,4.814,0.388
1,7,0,5,4,5,-0.226403832,5.61682346,0.413091375,1.20301824,6.497423738,-0.334540691,1.08,6.886,0.414
1,7,1,5,4,4,0.483662197,7.205100234,0.706766003,1.470407613,6.997725145,-0.073344259,1.18,7.018,0.878
2,6,1,5,5,5,0.533049913,6.984842496,1.52769306,3.17304445,6.762609213,0.687766826,2.078,6.108,1.192
4,5,3,5,4,5,2.076881089,6.250934658,1.974081838,5.756755167,6.267383963,2.052566051,4.116,5.206,2.734
10,6,3,5,4,5,4.379232968,5.566159397,3.496547004,7.938576147,6.016046184,3.724177767,9.462,6.034,3.11
9,6,5,5,4,4,9.893604812,6.628418935,3.995565405,8.843974515,6.225849955,5.113732273,9.156,6.06,4.904
11,5,6,5,4,4.5,9.698793306,6.240901054,5.404748984,8.754048268,6.763964776,5.753231866,10.632,5.096,5.968
6,5,6,5,4,5,12.67405515,5.250679169,6.572771811,8.729087742,7.326843463,5.660087532,6.47,5.308,5.982
11,7,4,5,4,5,8.359539692,5.28431652,6.47385869,9.488977214,7.665329771,5.32151607,10.778,6.918,4.188
12,8,4,5,4,5,11.88083982,6.862169865,4.920284553,10.66756115,7.673542222,5.301649272,11.584,8.004,4.308
12,6,6,5,4,5,10.05816168,7.113745075,4.288297405,11.18183887,7.331368455,5.810292801,11.336,6.094,5.826
10,5,5,5,5,5,9.467545212,4.960750304,5.883697913,10.34178808,6.631159474,6.594626196,9.984,5.218,4.972
8,5,5,5,4,5,7.773096212,4.370505245,5.222348652,8.58750474,5.594902519,7.209692256,8.018,5.294,5.102
6,4,5,5,4,5,6.869992932,4.317816139,5.196885592,7.098111362,4.347625145,7.386762224,5.836,3.96,5.122
6,3,4,5,4,5,5.853527182,3.253208223,4.977867329,6.669097927,3.124173123,7.166754379,6.148,3.04,4.374
7,1,6,5,4,4,6.182873778,2.511452046,4.310900336,6.952091404,2.153309519,6.722949442,7.014,1.296,6.1
6,1,4,5,4,4,6.811974277,0.822106451,5.541553601,6.820769575,1.51299061,6.112372499,5.938,1.134,4.27
5,1,4,5,4,4,5.898180586,1.283578978,4.439707413,5.498216914,1.112524779,5.225827056,4.768,0.872,4.086
3,1,3,5,4,5,5.232010074,1.2460543,3.981754267,3.332728468,0.84613532,3.97940103,3.006,0.81,3.146
2,1,2,5,4,5,3.443441945,1.40532942,3.343823678,1.466467092,0.778999112,2.519700976,1.958,0.874,2.034
1,1,2,5,4,4,2.3435898,1.564547352,2.274406121,0.745280591,1.163348865,1.199826614,1.202,0.936,1.788
1,2,0,5,4,5,0.924523717,1.760392863,2.342244948,0.964299065,2.224631699,0.329272367,0.886,1.958,0.522
0,3,0,5,4,5,0.520831289,2.887953098,0.705986634,1.195464715,3.885505318,-0.051341227,0.522,3.282,0.4
1,5,1,5,4,5,-0.441058111,3.777633033,0.676723118,0.823685304,5.687917931,-0.133950495,0.838,4.926,0.66
1,7,0,5,4,5,0.744542755,5.642324436,1.413620688,0.254863558,7.024852772,-0.077118546,0.964,6.906,0.38
0,7,0,5,4,5,1.145285391,7.228211192,1.10691918,0.529905858,7.525154179,0.210356172,0.642,7.054,0.512
2,5,0,5,4,5,1.183582024,7.005999124,0.92250489,2.239570369,7.290038247,0.985362099,2.062,5.348,0.712
5,8,2,5,4,5,3.320396145,5.348385867,1.168117674,4.830308758,6.794812997,2.351273262,4.704,7.93,2.002
8,8,2,5,4,4,5.56823308,8.584496344,2.644019311,7.019157411,6.543475218,4.010991956,7.508,7.864,2.356
8,9,4,5,4,5,7.981770999,7.705949272,3.186883534,7.931583452,6.753278989,5.375614017,8.204,8.65,4.334
9,8,4,5,4,5,8.266503571,8.764849482,4.602205089,7.848684878,7.291393809,5.977297919,8.962,8.054,4.098
4,8,6,5,4,5,9.605011087,7.406300032,5.038572735,7.830752025,7.854272496,5.833801981,4.814,7.886,5.854
9,8,5,5,4,5,5.5054255,7.545482324,6.33833016,8.603596262,8.192758803,5.432879421,9.204,8.054,5.042
10,8,8,5,4,5,9.324006668,7.248260716,5.918968657,9.795134966,8.200971254,5.339382933,10.164,8.056,7.382
10,8,4,5,4,5,8.207559624,7.047564514,7.767954357,10.32236745,7.858797486,5.764016435,9.894,7.928,4.198
11,6,4,5,4,5,8.2991878,6.82230831,5.142918642,9.495271422,7.158588504,6.455025522,10.788,6.248,4.284
6,6,5,5,4,4,9.415019041,4.781201217,4.178180301,7.751497894,6.122331549,6.969221037,6.392,6.03,5.188
5,5,6,5,4,5,6.079612402,5.085786656,5.014442888,6.272614324,4.875054174,7.038691951,5.368,4.886,5.916
5,4,6,5,4,5,6.252578259,3.90290324,5.706058271,5.854110697,3.651602151,6.705052888,5.044,3.706,5.964
6,2,6,5,4,5,5.529887781,3.174178424,6.085365927,6.147613981,2.680738546,6.14397518,6.062,1.876,6.056
6,2,5,5,4,4,5.555218179,1.47074206,5.832345172,6.026801961,2.040419637,5.414169623,5.956,1.696,4.914
4,1,10,5,4,5,4.886846225,1.929973165,5.212194911,4.714759107,1.639953805,4.408192863,3.74,0.834,9.42
2,1,4,5,4.5,5,3.30305221,0.972582519,8.664025242,2.565825021,1.370723062,3.043931391,2.318,0.802,3.916
1,0,2,5,4.5,4,2.082470601,1.374579102,4.951992531,0.716118005,1.300745572,1.469812948,1.342,0.51,1.946
1,1,1,5,4.5,5,1.426570932,0.554113381,2.184278373,0.011485863,1.682254041,0.040757679,1.05,1.128,1.172
1,2,0,5,4,4,1.322399311,1.935360078,1.240957157,0.247058696,2.740695591,-0.931943952,0.916,1.874,0.476
1,4,1,5,4,4,1.181354168,2.767555246,0.130835581,0.490195991,4.398727927,-1.405923325,0.81,3.848,0.724
1,8,1,5,4,4.5,1.232166925,4.68095917,1.208449183,0.130388224,6.198299257,-1.571439866,0.716,7.5,0.634
1,9,1,5,4,5,1.395165994,8.151166092,1.317341996,-0.426461877,7.532392814,-1.585408266,0.928,8.71,0.66
1,9,1,5,4,4,1.612775612,8.442656475,1.778951688,-0.139447932,8.029852938,-1.356436196,1.152,9.05,0.908
2,7,0,5,4,5,1.79119392,8.604280314,1.658464148,1.582188222,7.791895722,-0.625091649,1.978,7.006,0.712
4,9,1,5,4,5,2.657978541,6.879953143,1.232410508,4.184898256,7.293829189,0.713176519,3.828,8.812,1.43
6,9,2,5,4,5,4.174600808,9.23337662,1.673848422,6.391319566,7.033692885,2.362275732,5.75,8.808,2.284
6,11,3,5,4,5,5.823671448,8.59166542,2.925770786,7.321318263,7.234698132,3.734119709,6.024,10.776,3.248
6,9,4,5,4,5,6.204602367,10.49964967,3.665433299,7.255992345,7.764014428,4.361484482,6.034,8.536,4.048
4,10,4,5,4,5,6.782405362,7.987171097,4.869540611,7.255632148,8.318094591,4.262534852,4.43,9.974,4.416
8,11,3,5,4,5,5.28517726,9.326433544,4.723033312,8.040121949,8.647782375,3.925211207,8.058,10.504,3.42
8,14,2,5,4,4,8.222734319,9.606589413,4.114633285,9.243306216,8.647196301,3.914328452,8.09,13.742,2.7
7,8,4,5,4,5,7.115784348,11.99360746,2.818381019,9.782184267,8.29622401,4.44032484,6.966,7.79,4.356
8,7,6,5,4,5,6.519298185,5.55818763,4.392206951,8.966733799,7.587216505,5.254887045,7.988,7.15,5.742
7,7,6,5,4,5,7.349994065,6.02803811,5.975450858,7.234605833,6.542161025,5.909625854,7.178,6.922,6.006
7,6,7,5,4,5,6.513141257,5.617091592,6.527331933,5.767367826,5.286085127,6.13623706,6.564,5.776,6.674
5,5,7,5,4,5,6.88614283,4.580653891,6.976083577,5.360509763,4.05383458,5.975184037,5.18,4.86,7.07
5,2,4,5,4,5,5.29611241,3.77739101,7.237573872,5.66944562,3.066885109,5.600785591,5.172,2.104,4.57
