time,click
2018/3/20 9:00,2
2018/3/20 10:00,3
2018/3/20 11:00,3
2018/3/20 12:00,2
2018/3/20 13:00,2
2018/3/20 14:00,3
2018/3/20 15:00,4
2018/3/20 16:00,3
2018/3/20 17:00,2
2018/3/20 18:00,2
2018/3/20 19:00,2
2018/3/20 20:00,2
2018/3/20 21:00,2
2018/3/20 22:00,2
2018/3/20 23:00,2
2018/3/21 0:00,1
2018/3/21 1:00,0
2018/3/21 2:00,1
2018/3/21 3:00,0
2018/3/21 4:00,0
2018/3/21 5:00,0
2018/3/21 6:00,1
2018/3/21 7:00,1
2018/3/21 8:00,2
2018/3/21 9:00,2
2018/3/21 10:00,3
2018/3/21 11:00,3
2018/3/21 12:00,2
2018/3/21 13:00,3
2018/3/21 14:00,3
2018/3/21 15:00,3
2018/3/21 16:00,2
2018/3/21 17:00,2
2018/3/21 18:00,2
2018/3/21 19:00,2
2018/3/21 20:00,2
2018/3/21 21:00,2
2018/3/21 22:00,2
2018/3/21 23:00,1
